term,estimate,se,z_value,p_value,or,or_low,or_high,label
(Intercept),-10.026562587427847,0.33538295905559357,-29.895861780400804,2.2272669615436483e-196,4.4209865721094675e-5,2.2910546967247613e-5,8.531058773373448e-5,(Intercept)
coastal,0.3021818445602267,0.11531760997669374,2.620431039294858,0.008781868943993475,1.3528072049751598,1.07913449788749,1.6958843753167718,Coastal
I(coastal * max_chla_10),0.20793637779131002,0.0886020762998996,2.3468567157217475,0.018932533850536636,1.2311348395394435,1.034870510480525,1.4646209141895676,"Coastal x chlorophyll-a
(per 10 mg/m3)"
wealth_index_5,0.2746972873719887,0.026407081146151895,10.40241009037147,2.417402686988103e-25,1.3161322047211903,1.2497448473088542,1.3860461069588033,Wealth index
population_10k,0.11494009459755115,0.024167357777038656,4.756005834727842,1.9746076446453386e-6,1.1218062333051333,1.0699073686322362,1.1762225983087171,"Population
(per 10,000)"
pop_density_1000,-0.09584670761752533,0.018150300464867822,-5.2807229171246295,1.2867516242661718e-7,0.9086032873564629,0.8768482834259039,0.9415082967026566,"Population density
(per 1,000/km2)"
fs_typeCSB2,0.3487773944672991,0.09814364722391433,3.5537439695058906,3.797887529786394e-4,1.4173336489107242,1.1693123557593799,1.7179624096505868,CSB2 facility
temperature_2m,0.10689586565762359,0.014318404765221839,7.465626751749912,8.290404192469847e-14,1.1128183658367257,1.0820223022986115,1.1444909339786997,2 m temperature
I(coastal * sea_surface_temp_centered),0.10698124231485975,0.03288153314234377,3.2535357111159997,0.0011397839823558175,1.1129133786047904,1.043450946030977,1.1869999188641878,Coastal x SST
