joint_group,clinic_months,events,median_chla,median_sst,rate_per_1000,lower_per_1000,upper_per_1000
"High chl-a
High SST",31911,172,8.355722427368164,28.639794921875023,5.389990912224625,4.644032332029629,6.255017856563959
"High chl-a
Low SST",25761,87,7.47827672958374,25.235742187500023,3.3771980901362526,2.738984641236895,4.163501411508032
"Low chl-a
High SST",25746,64,3.207630157470703,28.204736328125023,2.4858230404723063,1.947319516699904,3.17276866060153
"Low chl-a
Low SST",31878,69,3.082296848297119,24.936669921875023,2.1645021645021645,1.7108373498346219,2.7381358691025515
